-10.2   1.14790E-02   0.0000057395
-10.1   1.14768E-02   0.0000057384
-10   1.14709E-02   0.00000573545
-9.9   1.14631E-02   0.00000573155
-9.8   1.14541E-02   0.00000572705
-9.7   1.14439E-02   0.00000572195
-9.6   1.14329E-02   0.00000571645
-9.5   1.14212E-02   0.0000057106
-9.4   1.14090E-02   0.0000057045
-9.3   1.13963E-02   0.00000569815
-9.2   1.13828E-02   0.0000056914
-9.1   1.13689E-02   0.00000568445
-9   1.13547E-02   0.00000567735
-8.9   1.13400E-02   0.00000567
-8.8   1.13250E-02   0.0000056625
-8.7   1.13097E-02   0.00000565485
-8.6   1.12939E-02   0.00000564695
-8.5   1.12779E-02   0.00000563895
-8.4   1.12617E-02   0.00000563085
-8.3   1.12449E-02   0.00000562245
-8.2   1.12281E-02   0.00000561405
-8.1   1.12111E-02   0.00000560555
-8   1.11937E-02   0.00000559685
-7.9   1.11760E-02   0.000005588
-7.8   1.11582E-02   0.0000055791
-7.7   1.11401E-02   0.00000557005
-7.6   1.11218E-02   0.0000055609
-7.5   1.11036E-02   0.0000055518
-7.4   1.10850E-02   0.0000055425
-7.3   1.10661E-02   0.00000553305
-7.2   1.10471E-02   0.00000552355
-7.1   1.10280E-02   0.000005514
-7   1.10087E-02   0.00000550435
-6.9   1.09891E-02   0.00000549455
-6.8   1.09694E-02   0.0000054847
-6.7   1.09495E-02   0.00000547475
-6.6   1.09293E-02   0.00000546465
-6.5   1.09090E-02   0.0000054545
-6.4   1.08885E-02   0.00000544425
-6.3   1.08681E-02   0.00000543405
-6.2   1.08474E-02   0.0000054237
-6.1   1.08265E-02   0.00000541325
-6   1.08054E-02   0.0000054027
-5.9   1.07841E-02   0.00000539205
-5.8   1.07626E-02   0.0000053813
-5.7   1.07410E-02   0.0000053705
-5.6   1.07192E-02   0.0000053596
-5.5   1.06972E-02   0.0000053486
-5.4   1.06748E-02   0.0000053374
-5.3   1.06521E-02   0.00000532605
-5.2   1.06290E-02   0.0000053145
-5.1   1.06053E-02   0.00000530265
-5   1.05795E-02   0.00000528975
-4.9   1.05496E-02   0.0000052748
-4.8   1.05112E-02   0.0000052556
-4.7   1.04635E-02   0.00000523175
-4.6   1.04115E-02   0.00000520575
-4.5   1.03612E-02   0.0000051806
-4.4   1.03116E-02   0.0000051558
-4.3   1.02596E-02   0.0000051298
-4.2   1.02061E-02   0.00000510305
-4.1   1.01546E-02   0.0000050773
-4   1.01037E-02   0.00000505185
-3.9   1.00501E-02   0.00000502505
-3.8   9.99503E-03   0.000004997515
-3.7   9.94184E-03   0.00000497092
-3.6   9.89023E-03   0.000004945115
-3.5   9.83686E-03   0.00000491843
-3.4   9.78209E-03   0.000004891045
-3.3   9.72867E-03   0.000004864335
-3.2   9.67671E-03   0.000004838355
-3.1   9.62317E-03   0.000004811585
-3   9.56711E-03   0.000004783555
-2.9   9.51143E-03   0.000004755715
-2.8   9.45767E-03   0.000004728835
-2.7   9.40307E-03   0.000004701535
-2.6   9.34589E-03   0.000004672945
-2.5   9.28872E-03   0.00000464436
-2.4   9.23426E-03   0.00000461713
-2.3   9.18096E-03   0.00000459048
-2.2   9.12549E-03   0.000004562745
-2.1   9.06790E-03   0.00000453395
-2   9.01126E-03   0.00000450563
-1.9   8.95670E-03   0.00000447835
-1.8   8.90122E-03   0.000005340732
-1.7   8.84237E-03   0.000005305422
-1.6   8.78236E-03   0.000005269416
-1.5   8.72449E-03   0.000005234694
-1.4   8.66818E-03   0.000005200908
-1.3   8.61006E-03   0.000005166036
-1.2   8.54935E-03   0.00000512961
-1.1   8.48890E-03   0.00000509334
-1   8.43113E-03   0.000005058678
-0.9   8.37442E-03   0.000005024652
-0.8   8.31490E-03   0.00000498894
-0.7   8.25205E-03   0.00000495123
-0.6   8.18947E-03   0.000004913682
-0.5   8.12940E-03   0.00000487764
-0.4   8.06958E-03   0.000004841748
-0.3   8.00636E-03   0.000004803816
-0.2   7.93960E-03   0.00000476376
-0.1   7.87325E-03   0.00000472395
0   7.80996E-03   0.000004685976
0.1   7.74667E-03   0.000004648002
0.2   7.67919E-03   0.000004607514
0.3   7.60881E-03   0.000004565286
0.4   7.54013E-03   0.000004524078
0.5   7.47536E-03   0.000004485216
0.6   7.41123E-03   0.000004446738
0.7   7.34248E-03   0.000004405488
0.8   7.26870E-03   0.00000436122
0.9   7.19464E-03   0.000004316784
1   7.12440E-03   0.00000427464
1.1   7.05560E-03   0.00000423336
1.2   6.98238E-03   0.000004189428
1.3   6.90254E-03   0.000004141524
1.4   6.82107E-03   0.000004092642
1.5   6.74340E-03   0.00000404604
1.6   6.66826E-03   0.000004000956
1.7   6.58926E-03   0.000003953556
1.8   6.50258E-03   0.000003901548
1.9   6.41247E-03   0.000003847482
2   6.32664E-03   0.000003795984
2.1   6.24639E-03   0.000003747834
2.2   6.16526E-03   0.000003699156
2.3   6.07615E-03   0.00000364569
2.4   5.97942E-03   0.000003587652
2.5   5.88257E-03   0.000003529542
2.6   5.79165E-03   0.000004054155
2.7   5.70342E-03   0.000003992394
2.8   5.60896E-03   0.000003926272
2.9   5.50234E-03   0.000003851638
3   5.38896E-03   0.000003772272
3.1   5.27870E-03   0.00000369509
3.2   5.17564E-03   0.000003622948
3.3   5.07193E-03   0.000003550351
3.4   4.95643E-03   0.000003469501
3.5   4.82701E-03   0.000003378907
3.6   4.69363E-03   0.000003285541
3.7   4.56712E-03   0.000003196984
3.8   4.44623E-03   0.000003112361
3.9   4.31844E-03   0.000003022908
4   4.17329E-03   0.000003338632
