Energy_MeV_n z1 z2 z3 z4 z5 z6 z7 z8 z9 z10 z11 z12 z13 z14 z15 z16 z17 z18
2.00000e+00 1.51324e+02 5.45300e+02 1.25700e+03 2.17900e+03 3.29200e+03 4.09370e+03 5.94100e+03 7.43400e+03 8.90100e+03 1.03900e+04 1.23000e+04 1.35300e+04 1.51200e+04 1.66800e+04 1.84100e+04 2.01700e+04 2.18600e+04 2.33500e+04
2.50000e+00 1.28326e+02 4.63400e+02 1.07200e+03 1.87900e+03 2.87200e+03 3.67900e+03 5.29800e+03 6.69500e+03 8.08200e+03 9.50600e+03 1.13400e+04 1.25200e+04 1.40700e+04 1.56000e+04 1.72900e+04 1.90300e+04 2.07000e+04 2.21800e+04
3.00000e+00 1.11928e+02 4.04260e+02 9.37200e+02 1.65300e+03 2.54700e+03 3.34480e+03 4.77500e+03 6.07900e+03 7.38900e+03 8.74400e+03 1.05100e+04 1.16400e+04 1.31400e+04 1.46200e+04 1.62800e+04 1.79800e+04 1.96200e+04 2.10800e+04
4.00000e+00 8.98473e+01 3.26070e+02 7.52000e+02 1.33500e+03 2.07600e+03 2.82760e+03 3.97900e+03 5.12100e+03 6.29100e+03 7.51700e+03 9.13100e+03 1.01800e+04 1.15700e+04 1.29600e+04 1.45300e+04 1.61500e+04 1.77100e+04 1.91100e+04
5.00000e+00 7.55571e+01 2.74700e+02 6.31300e+02 1.12300e+03 1.75500e+03 2.42500e+03 3.40700e+03 4.41500e+03 5.46600e+03 6.57800e+03 8.04900e+03 9.03100e+03 1.03200e+04 1.16200e+04 1.30900e+04 1.46200e+04 1.61100e+04 1.74500e+04
6.00000e+00 6.54801e+01 2.38010e+02 5.46300e+02 9.72900e+02 1.52200e+03 2.11340e+03 2.97800e+03 3.87700e+03 4.82800e+03 5.84200e+03 7.18300e+03 8.10300e+03 9.31000e+03 1.05200e+04 1.19000e+04 1.33400e+04 1.47500e+04 1.60300e+04
7.00000e+00 5.79563e+01 2.11070e+02 4.83100e+02 8.60100e+02 1.34700e+03 1.87570e+03 2.64600e+03 3.45600e+03 4.32100e+03 5.25200e+03 6.47700e+03 7.34300e+03 8.47000e+03 9.61300e+03 1.09000e+04 1.22600e+04 1.36000e+04 1.48100e+04
8.00000e+00 5.21060e+01 1.90240e+02 4.34100e+02 7.72400e+02 1.21000e+03 1.69170e+03 2.38200e+03 3.11700e+03 3.91000e+03 4.76800e+03 5.89400e+03 6.71100e+03 7.76500e+03 8.84000e+03 1.00500e+04 1.13300e+04 1.26000e+04 1.37600e+04
9.00000e+00 4.74231e+01 1.73280e+02 3.94900e+02 7.02400e+02 1.10000e+03 1.54290e+03 2.16800e+03 2.84000e+03 3.57200e+03 4.36700e+03 5.40400e+03 6.17800e+03 7.16600e+03 8.18000e+03 9.32400e+03 1.05300e+04 1.17300e+04 1.28500e+04
1.00000e+01 4.35732e+01 1.59300e+02 3.62700e+02 6.45000e+02 1.00900e+03 1.41940e+03 1.99000e+03 2.61000e+03 3.28800e+03 4.02900e+03 4.98800e+03 5.72300e+03 6.65300e+03 7.61100e+03 8.69000e+03 9.83900e+03 1.09800e+04 1.20400e+04
1.50000e+01 3.13925e+01 1.15000e+02 2.61400e+02 4.64300e+02 7.25600e+02 1.03030e+03 1.42700e+03 1.87100e+03 2.36800e+03 2.91700e+03 3.60500e+03 4.19000e+03 4.90300e+03 5.64900e+03 6.48400e+03 7.38000e+03 8.28700e+03 9.16000e+03
2.00000e+01 2.48479e+01 9.11900e+01 2.07000e+02 3.67700e+02 5.74200e+02 8.16460e+02 1.12600e+03 1.47500e+03 1.86800e+03 2.30500e+03 2.83600e+03 3.32300e+03 3.89800e+03 4.50700e+03 5.18200e+03 5.91100e+03 6.65800e+03 7.39400e+03
2.50000e+01 2.07252e+01 7.61400e+01 1.72800e+02 3.06900e+02 4.79200e+02 6.83900e+02 9.39200e+02 1.22800e+03 1.55500e+03 1.91900e+03 2.35200e+03 2.76900e+03 3.25100e+03 3.76500e+03 4.33200e+03 4.94500e+03 5.57900e+03 6.21400e+03
3.00000e+01 1.78752e+01 6.55910e+01 1.49100e+02 2.64900e+02 4.13600e+02 5.91020e+02 8.10100e+02 1.05800e+03 1.34000e+03 1.65400e+03 2.02000e+03 2.38600e+03 2.80200e+03 3.24700e+03 3.73700e+03 4.26500e+03 4.81600e+03 5.37500e+03
4.00000e+01 1.41718e+01 5.21970e+01 1.18300e+02 2.10200e+02 3.28400e+02 4.69420e+02 6.42900e+02 8.39600e+02 1.06200e+03 1.31100e+03 1.59400e+03 1.88900e+03 2.21900e+03 2.57300e+03 2.95900e+03 3.37600e+03 3.81400e+03 4.26600e+03
5.00000e+01 1.18571e+01 4.36900e+01 9.90700e+01 1.76100e+02 2.75000e+02 3.93500e+02 5.38600e+02 7.03300e+02 8.89800e+02 1.09800e+03 1.33200e+03 1.58100e+03 1.85600e+03 2.15300e+03 2.47400e+03 2.82100e+03 3.18700e+03 3.56800e+03
6.00000e+01 1.02666e+01 3.77690e+01 8.58300e+01 1.52500e+02 2.38300e+02 3.40920e+02 4.66900e+02 6.09700e+02 7.71300e+02 9.51900e+02 1.15300e+03 1.37000e+03 1.60800e+03 1.86500e+03 2.14300e+03 2.44100e+03 2.75800e+03 3.08900e+03
7.00000e+01 9.10315e+00 3.35350e+01 7.61400e+01 1.35300e+02 2.11500e+02 3.02750e+02 4.14400e+02 5.41100e+02 6.84700e+02 8.45100e+02 1.02300e+03 1.21600e+03 1.42700e+03 1.65500e+03 1.90100e+03 2.16500e+03 2.44600e+03 2.74100e+03
8.00000e+01 8.21359e+00 3.03250e+01 6.87300e+01 1.22200e+02 1.91000e+02 2.73440e+02 3.74200e+02 4.88700e+02 6.18400e+02 7.63300e+02 9.24000e+02 1.09800e+03 1.28900e+03 1.49500e+03 1.71700e+03 1.95500e+03 2.20800e+03 2.47400e+03
9.00000e+01 7.51052e+00 2.77360e+01 6.28700e+01 1.11700e+02 1.74700e+02 2.50030e+02 3.42400e+02 4.47200e+02 5.66000e+02 6.98700e+02 8.45600e+02 1.00500e+03 1.18000e+03 1.36900e+03 1.57100e+03 1.78900e+03 2.02000e+03 2.26400e+03
1.00000e+02 6.94039e+00 2.56300e+01 5.81100e+01 1.03300e+02 1.61500e+02 2.30940e+02 3.16600e+02 4.13600e+02 5.23400e+02 6.46200e+02 7.82100e+02 9.30400e+02 1.09200e+03 1.26600e+03 1.45400e+03 1.65400e+03 1.86800e+03 2.09400e+03
1.50000e+02 5.18365e+00 1.91700e+01 4.34600e+01 7.73100e+01 1.20800e+02 1.73220e+02 2.37000e+02 3.09700e+02 3.92100e+02 4.84200e+02 5.86000e+02 6.97500e+02 8.18800e+02 9.49800e+02 1.09000e+03 1.24100e+03 1.40100e+03 1.57100e+03
2.00000e+02 4.27631e+00 1.58300e+01 3.58900e+01 6.38400e+01 9.98200e+01 1.42800e+02 1.95800e+02 2.55900e+02 3.24000e+02 4.00300e+02 4.84500e+02 5.76900e+02 6.77300e+02 7.85800e+02 9.02400e+02 1.02700e+03 1.15900e+03 1.30000e+03
2.50000e+02 3.72273e+00 1.37900e+01 3.12700e+01 5.56300e+01 8.69800e+01 1.24700e+02 1.70700e+02 2.23100e+02 2.82700e+02 3.49000e+02 4.22500e+02 5.03100e+02 5.90800e+02 6.85500e+02 7.87300e+02 8.96200e+02 1.01200e+03 1.13500e+03
3.00000e+02 3.35088e+00 1.24200e+01 2.81600e+01 5.01100e+01 7.83500e+01 1.12420e+02 1.53800e+02 2.01000e+02 2.54500e+02 3.14500e+02 3.80800e+02 4.53500e+02 5.32500e+02 6.18000e+02 7.09900e+02 8.08200e+02 9.12900e+02 1.02400e+03
4.00000e+02 2.88615e+00 1.07100e+01 2.42800e+01 4.32100e+01 6.75700e+01 9.68980e+01 1.32600e+02 1.73400e+02 2.19600e+02 2.71400e+02 3.28600e+02 3.91400e+02 4.59700e+02 5.33500e+02 6.12900e+02 6.97900e+02 7.88500e+02 8.84600e+02
5.00000e+02 2.61106e+00 9.69600e+00 2.19900e+01 3.91300e+01 6.11900e+01 8.77700e+01 1.20100e+02 1.57000e+02 1.98900e+02 2.45800e+02 2.97700e+02 3.54600e+02 4.16500e+02 4.83500e+02 5.55500e+02 6.32600e+02 7.14700e+02 8.01900e+02
6.00000e+02 2.43229e+00 9.03900e+00 2.05000e+01 3.64800e+01 5.70500e+01 8.17960e+01 1.12000e+02 1.46400e+02 1.85500e+02 2.29200e+02 2.77600e+02 3.30700e+02 3.88500e+02 4.51000e+02 5.18100e+02 5.90100e+02 6.66700e+02 7.48200e+02
7.00000e+02 2.30896e+00 8.58600e+00 1.94700e+01 3.46500e+01 5.42000e+01 7.77900e+01 1.06400e+02 1.39100e+02 1.76200e+02 2.17800e+02 2.63800e+02 3.14200e+02 3.69100e+02 4.28500e+02 4.92400e+02 5.60800e+02 6.33600e+02 7.11100e+02
8.00000e+02 2.21758e+00 8.26000e+00 1.87300e+01 3.33400e+01 5.21500e+01 7.48900e+01 1.02400e+02 1.33900e+02 1.69600e+02 2.09600e+02 2.53800e+02 3.02400e+02 3.55200e+02 4.12400e+02 4.73900e+02 5.39700e+02 6.09900e+02 6.84400e+02
9.00000e+02 2.14876e+00 8.02200e+00 1.81900e+01 3.23700e+01 5.06400e+01 7.22340e+01 9.94500e+01 1.30000e+02 1.64700e+02 2.03500e+02 2.46500e+02 2.93700e+02 3.45000e+02 4.00500e+02 4.60200e+02 5.24200e+02 5.92300e+02 6.64700e+02
1.00000e+03 2.09595e+00 7.83900e+00 1.77800e+01 3.16300e+01 4.94800e+01 6.89600e+01 9.71800e+01 1.27000e+02 1.60900e+02 1.98900e+02 2.40900e+02 2.87000e+02 3.37200e+02 3.91400e+02 4.49800e+02 5.12300e+02 5.78900e+02 6.49700e+02
