LET spectra each 0.1 cm

 cell  400                                                                                                                             
    s(e) (MeV/cm)
    5.9039E+01   4.82090E-08 0.0069
    6.0747E+01   2.82697E-07 0.0043
    6.2505E+01   5.49785E-08 0.0061
    6.4313E+01   4.24854E-08 0.0069
    6.6174E+01   2.66916E-07 0.0042
    6.8088E+01   3.83196E-08 0.0067
    7.0058E+01   2.41993E-07 0.0041
    7.2084E+01   4.09486E-08 0.0060
    7.4170E+01   2.12201E-07 0.0040
    7.6315E+01   4.60194E-08 0.0053
    7.8523E+01   3.15114E-08 0.0063
    8.0795E+01   2.02362E-07 0.0039
    8.3132E+01   3.05817E-08 0.0060
    8.5537E+01   1.80467E-07 0.0038
    8.8012E+01   3.19527E-08 0.0055
    9.0558E+01   1.57571E-07 0.0037
    9.3178E+01   3.37276E-08 0.0050
    9.5873E+01   2.38556E-08 0.0058
    9.8647E+01   1.47248E-07 0.0037
    1.0150E+02   2.16040E-08 0.0057
    1.0444E+02   1.30444E-07 0.0036
    1.0746E+02   2.19885E-08 0.0053
    1.1057E+02   1.12623E-07 0.0036
    1.1377E+02   2.32186E-08 0.0048
    1.1706E+02   1.68389E-08 0.0055
    1.2044E+02   1.03125E-07 0.0035
    1.2393E+02   1.48456E-08 0.0055
    1.2751E+02   9.01977E-08 0.0035
    1.3120E+02   1.53278E-08 0.0050
    1.3500E+02   7.67792E-08 0.0035
    1.3890E+02   1.61058E-08 0.0046
    1.4292E+02   1.10527E-08 0.0054
    1.4706E+02   6.99069E-08 0.0034
    1.5131E+02   1.02967E-08 0.0052
    1.5569E+02   5.97701E-08 0.0034
    1.6019E+02   1.10350E-08 0.0047
    1.6483E+02   8.86775E-09 0.0052
    1.6959E+02   5.26815E-08 0.0034
    1.7450E+02   7.34258E-09 0.0053
    1.7955E+02   4.55799E-08 0.0034
    1.8474E+02   7.44647E-09 0.0049
    1.9009E+02   3.82093E-08 0.0034
    1.9559E+02   7.86178E-09 0.0045
    2.0124E+02   5.39421E-09 0.0053
    2.0707E+02   3.41456E-08 0.0033
    2.1306E+02   5.10752E-09 0.0051
    2.1922E+02   2.88532E-08 0.0033
    2.2556E+02   5.42133E-09 0.0046
    2.3209E+02   4.33448E-09 0.0051
    2.3880E+02   2.53527E-08 0.0033
    2.4571E+02   3.66508E-09 0.0051
    2.5282E+02   2.20161E-08 0.0033
    2.6013E+02   3.55702E-09 0.0048
    2.6766E+02   1.86984E-08 0.0033
    2.7540E+02   3.59328E-09 0.0045
    2.8337E+02   2.62016E-09 0.0049
    2.9157E+02   2.11539E-09 0.0041
    3.0000E+02   0.00000E+00 0.0000
      total      1.14775E-02 0.0006
 
 cell  401                                                                                                                             
    s(e) (MeV/cm)
    1.0000E+00   0.00000E+00 0.0000
    1.0289E+00   0.00000E+00 0.0000
    1.0587E+00   0.00000E+00 0.0000
    1.0893E+00   0.00000E+00 0.0000
    1.1208E+00   0.00000E+00 0.0000
    1.1533E+00   0.00000E+00 0.0000
    1.1866E+00   0.00000E+00 0.0000
    1.2210E+00   0.00000E+00 0.0000
    1.2563E+00   0.00000E+00 0.0000
    1.2926E+00   0.00000E+00 0.0000
    1.3300E+00   0.00000E+00 0.0000
    1.3685E+00   0.00000E+00 0.0000
    1.4081E+00   0.00000E+00 0.0000
    1.4488E+00   0.00000E+00 0.0000
    1.4907E+00   0.00000E+00 0.0000
    1.5339E+00   0.00000E+00 0.0000
    1.5782E+00   0.00000E+00 0.0000
    1.6239E+00   0.00000E+00 0.0000
    1.6709E+00   0.00000E+00 0.0000
    1.7192E+00   0.00000E+00 0.0000
    1.7689E+00   0.00000E+00 0.0000
    1.8201E+00   0.00000E+00 0.0000
    1.8728E+00   0.00000E+00 0.0000
    1.9269E+00   0.00000E+00 0.0000
    1.9827E+00   0.00000E+00 0.0000
    2.0400E+00   0.00000E+00 0.0000
    2.0991E+00   0.00000E+00 0.0000
    2.1598E+00   0.00000E+00 0.0000
    2.2223E+00   0.00000E+00 0.0000
    2.2866E+00   0.00000E+00 0.0000
    2.3527E+00   0.00000E+00 0.0000
    2.4208E+00   0.00000E+00 0.0000
    2.4908E+00   0.00000E+00 0.0000
    2.5629E+00   0.00000E+00 0.0000
    2.6370E+00   0.00000E+00 0.0000
    2.7133E+00   0.00000E+00 0.0000
    2.7918E+00   0.00000E+00 0.0000
    2.8725E+00   0.00000E+00 0.0000
    2.9557E+00   0.00000E+00 0.0000
    3.0412E+00   0.00000E+00 0.0000
    3.1291E+00   0.00000E+00 0.0000
    3.2197E+00   0.00000E+00 0.0000
    3.3128E+00   0.00000E+00 0.0000
    3.4086E+00   0.00000E+00 0.0000
    3.5072E+00   0.00000E+00 0.0000
    3.6087E+00   0.00000E+00 0.0000
    3.7131E+00   0.00000E+00 0.0000
    3.8205E+00   0.00000E+00 0.0000
    3.9311E+00   0.00000E+00 0.0000
    4.0448E+00   0.00000E+00 0.0000
    4.1618E+00   0.00000E+00 0.0000
    4.2822E+00   0.00000E+00 0.0000
    4.4061E+00   0.00000E+00 0.0000
    4.5335E+00   0.00000E+00 0.0000
    4.6647E+00   0.00000E+00 0.0000
    4.7996E+00   0.00000E+00 0.0000
    4.9385E+00   0.00000E+00 0.0000
    5.0814E+00   0.00000E+00 0.0000
    5.2284E+00   0.00000E+00 0.0000
    5.3796E+00   0.00000E+00 0.0000
    5.5352E+00   5.33071E-03 0.0009
    5.6954E+00   8.88407E-05 0.0056
    5.8601E+00   1.14899E-04 0.0049
    6.0297E+00   2.52304E-03 0.0013
    6.2041E+00   2.26386E-05 0.0108
    6.3836E+00   1.16044E-03 0.0020
    6.5683E+00   2.40973E-05 0.0108
    6.7583E+00   7.35827E-04 0.0025
    6.9538E+00   1.92910E-05 0.0123
    7.1550E+00   5.23221E-04 0.0030
    7.3619E+00   1.38293E-05 0.0145
    7.5749E+00   3.93865E-04 0.0035
    7.7941E+00   1.69183E-05 0.0133
    8.0195E+00   1.74314E-05 0.0132
    8.2515E+00   3.07790E-04 0.0039
    8.4902E+00   1.28425E-05 0.0155
    8.7359E+00   1.34135E-04 0.0059
    8.9886E+00   1.08656E-07 0.0379
    9.2486E+00   1.39549E-06 0.0072
    9.5162E+00   1.23436E-07 0.0252
    9.7915E+00   1.36649E-07 0.0243
    1.0075E+01   1.34997E-06 0.0075
    1.0366E+01   1.43847E-07 0.0234
    1.0666E+01   1.29488E-06 0.0079
    1.0975E+01   1.62816E-07 0.0217
    1.1292E+01   1.24270E-06 0.0081
    1.1619E+01   1.81601E-07 0.0199
    1.1955E+01   1.80144E-07 0.0200
    1.2301E+01   1.22794E-06 0.0082
    1.2657E+01   1.83886E-07 0.0188
    1.3023E+01   1.19976E-06 0.0082
    1.3400E+01   1.78543E-07 0.0177
    1.3787E+01   1.83842E-07 0.0175
    1.4186E+01   1.14419E-06 0.0081
    1.4596E+01   1.81610E-07 0.0163
    1.5019E+01   1.13056E-06 0.0079
    1.5453E+01   1.80013E-07 0.0152
    1.5900E+01   1.84557E-07 0.0151
    1.6360E+01   1.10339E-06 0.0077
    1.6834E+01   1.83858E-07 0.0140
    1.7321E+01   1.08443E-06 0.0075
    1.7822E+01   1.75628E-07 0.0134
    1.8337E+01   1.04517E-06 0.0072
    1.8868E+01   1.81768E-07 0.0122
    1.9413E+01   1.70629E-07 0.0126
    1.9975E+01   1.02007E-06 0.0069
    2.0553E+01   1.68775E-07 0.0117
    2.1148E+01   9.94045E-07 0.0066
    2.1759E+01   1.79593E-07 0.0105
    2.2389E+01   1.62013E-07 0.0111
    2.3037E+01   9.71834E-07 0.0063
    2.3703E+01   1.53642E-07 0.0105
    2.4389E+01   9.27318E-07 0.0060
    2.5094E+01   1.70725E-07 0.0093
    2.5820E+01   1.48310E-07 0.0099
    2.6567E+01   9.04622E-07 0.0057
    2.7336E+01   1.42908E-07 0.0094
    2.8127E+01   8.48675E-07 0.0055
    2.8940E+01   1.58077E-07 0.0083
    2.9777E+01   1.34552E-07 0.0089
    3.0639E+01   8.35428E-07 0.0052
    3.1525E+01   1.28023E-07 0.0085
    3.2437E+01   7.84711E-07 0.0049
    3.3376E+01   1.43018E-07 0.0075
    3.4341E+01   1.22659E-07 0.0080
    3.5335E+01   7.62238E-07 0.0047
    3.6357E+01   1.13409E-07 0.0077
    3.7409E+01   7.11130E-07 0.0045
    3.8491E+01   1.25605E-07 0.0068
    3.9604E+01   1.12108E-07 0.0072
    4.0750E+01   6.75147E-07 0.0043
    4.1929E+01   9.76707E-08 0.0071
    4.3142E+01   6.30973E-07 0.0042
    4.4390E+01   1.06719E-07 0.0063
    4.5674E+01   5.66079E-07 0.0040
    4.6996E+01   1.22798E-07 0.0055
    4.8355E+01   8.29657E-08 0.0066
    4.9754E+01   5.47933E-07 0.0039
    5.1193E+01   8.86190E-08 0.0060
    5.2674E+01   4.85933E-07 0.0038
    5.4198E+01   1.01689E-07 0.0052
    5.5766E+01   7.10275E-08 0.0062
    5.7379E+01   4.67119E-07 0.0036
    5.9039E+01   7.11561E-08 0.0057
    6.0747E+01   4.15479E-07 0.0035
    6.2505E+01   7.97163E-08 0.0050
    6.4313E+01   6.18773E-08 0.0057
    6.6174E+01   3.87279E-07 0.0035
    6.8088E+01   5.50057E-08 0.0056
    7.0058E+01   3.47555E-07 0.0034
    7.2084E+01   5.93319E-08 0.0050
    7.4170E+01   3.01938E-07 0.0033
    7.6315E+01   6.61472E-08 0.0044
    7.8523E+01   4.43974E-08 0.0053
    8.0795E+01   2.85684E-07 0.0033
    8.3132E+01   4.30099E-08 0.0050
    8.5537E+01   2.52575E-07 0.0032
    8.8012E+01   4.46938E-08 0.0046
    9.0558E+01   2.18641E-07 0.0032
    9.3178E+01   4.68574E-08 0.0042
    9.5873E+01   3.27155E-08 0.0050
    9.8647E+01   2.02669E-07 0.0031
    1.0150E+02   2.96036E-08 0.0049
    1.0444E+02   1.77831E-07 0.0031
    1.0746E+02   3.01296E-08 0.0045
    1.1057E+02   1.52606E-07 0.0031
    1.1377E+02   3.14110E-08 0.0041
    1.1706E+02   2.25737E-08 0.0048
    1.2044E+02   1.39081E-07 0.0030
    1.2393E+02   1.98831E-08 0.0047
    1.2751E+02   1.20704E-07 0.0030
    1.3120E+02   2.05257E-08 0.0043
    1.3500E+02   1.02179E-07 0.0030
    1.3890E+02   2.15310E-08 0.0040
    1.4292E+02   1.47375E-08 0.0047
    1.4706E+02   9.27678E-08 0.0030
    1.5131E+02   1.37732E-08 0.0045
    1.5569E+02   7.91923E-08 0.0029
    1.6019E+02   1.45188E-08 0.0041
    1.6483E+02   1.17585E-08 0.0045
    1.6959E+02   6.95296E-08 0.0029
    1.7450E+02   9.66139E-09 0.0046
    1.7955E+02   6.00401E-08 0.0029
    1.8474E+02   9.82745E-09 0.0043
    1.9009E+02   5.02234E-08 0.0029
    1.9559E+02   1.03672E-08 0.0039
    2.0124E+02   7.11793E-09 0.0046
    2.0707E+02   4.49029E-08 0.0029
    2.1306E+02   6.73820E-09 0.0044
    2.1922E+02   3.79347E-08 0.0029
    2.2556E+02   7.13895E-09 0.0040
    2.3209E+02   5.66350E-09 0.0044
    2.3880E+02   3.32879E-08 0.0029
    2.4571E+02   4.81064E-09 0.0045
    2.5282E+02   2.88442E-08 0.0029
    2.6013E+02   4.67321E-09 0.0042
    2.6766E+02   2.44269E-08 0.0029
    2.7540E+02   4.73261E-09 0.0039
    2.8337E+02   3.41888E-09 0.0043
    2.9157E+02   2.75062E-09 0.0036
    3.0000E+02   0.00000E+00 0.0000
      total      1.14754E-02 0.0006
 
 cell  402                                                                                                                             
    s(e) (MeV/cm)
    1.0000E+00   0.00000E+00 0.0000
    1.0289E+00   0.00000E+00 0.0000
    1.0587E+00   0.00000E+00 0.0000
    1.0893E+00   0.00000E+00 0.0000
    1.1208E+00   0.00000E+00 0.0000
    1.1533E+00   0.00000E+00 0.0000
    1.1866E+00   0.00000E+00 0.0000
    1.2210E+00   0.00000E+00 0.0000
    1.2563E+00   0.00000E+00 0.0000
    1.2926E+00   0.00000E+00 0.0000
    1.3300E+00   0.00000E+00 0.0000
    1.3685E+00   0.00000E+00 0.0000
    1.4081E+00   0.00000E+00 0.0000
    1.4488E+00   0.00000E+00 0.0000
    1.4907E+00   0.00000E+00 0.0000
    1.5339E+00   0.00000E+00 0.0000
    1.5782E+00   0.00000E+00 0.0000
    1.6239E+00   0.00000E+00 0.0000
    1.6709E+00   0.00000E+00 0.0000
    1.7192E+00   0.00000E+00 0.0000
    1.7689E+00   0.00000E+00 0.0000
    1.8201E+00   0.00000E+00 0.0000
    1.8728E+00   0.00000E+00 0.0000
    1.9269E+00   0.00000E+00 0.0000
    1.9827E+00   0.00000E+00 0.0000
    2.0400E+00   0.00000E+00 0.0000
    2.0991E+00   0.00000E+00 0.0000
    2.1598E+00   0.00000E+00 0.0000
    2.2223E+00   0.00000E+00 0.0000
    2.2866E+00   0.00000E+00 0.0000
    2.3527E+00   0.00000E+00 0.0000
    2.4208E+00   0.00000E+00 0.0000
    2.4908E+00   0.00000E+00 0.0000
    2.5629E+00   0.00000E+00 0.0000
    2.6370E+00   0.00000E+00 0.0000
    2.7133E+00   0.00000E+00 0.0000
    2.7918E+00   0.00000E+00 0.0000
    2.8725E+00   0.00000E+00 0.0000
    2.9557E+00   0.00000E+00 0.0000
    3.0412E+00   0.00000E+00 0.0000
    3.1291E+00   0.00000E+00 0.0000
    3.2197E+00   0.00000E+00 0.0000
    3.3128E+00   0.00000E+00 0.0000
    3.4086E+00   0.00000E+00 0.0000
    3.5072E+00   0.00000E+00 0.0000
    3.6087E+00   0.00000E+00 0.0000
    3.7131E+00   0.00000E+00 0.0000
    3.8205E+00   0.00000E+00 0.0000
    3.9311E+00   0.00000E+00 0.0000
    4.0448E+00   0.00000E+00 0.0000
    4.1618E+00   0.00000E+00 0.0000
    4.2822E+00   0.00000E+00 0.0000
    4.4061E+00   0.00000E+00 0.0000
    4.5335E+00   0.00000E+00 0.0000
    4.6647E+00   0.00000E+00 0.0000
    4.7996E+00   0.00000E+00 0.0000
    4.9385E+00   0.00000E+00 0.0000
    5.0814E+00   0.00000E+00 0.0000
    5.2284E+00   0.00000E+00 0.0000
    5.3796E+00   0.00000E+00 0.0000
    5.5352E+00   5.20448E-03 0.0009
    5.6954E+00   4.27409E-05 0.0072
    5.8601E+00   6.31503E-05 0.0060
    6.0297E+00   2.65727E-03 0.0013
    6.2041E+00   3.89339E-05 0.0075
    6.3836E+00   1.17413E-03 0.0020
    6.5683E+00   1.75628E-05 0.0114
    6.7583E+00   7.46495E-04 0.0025
    6.9538E+00   1.54706E-05 0.0124
    7.1550E+00   5.26394E-04 0.0030
    7.3619E+00   1.72527E-05 0.0118
    7.5749E+00   3.90234E-04 0.0035
    7.7941E+00   1.49963E-05 0.0129
    8.0195E+00   1.67098E-05 0.0124
    8.2515E+00   3.13372E-04 0.0039
    8.4902E+00   1.56509E-05 0.0130
    8.7359E+00   1.65643E-04 0.0053
    8.9886E+00   2.55330E-07 0.0571
    9.2486E+00   2.25616E-06 0.0076
    9.5162E+00   1.95931E-07 0.0201
    9.7915E+00   2.06903E-07 0.0196
    1.0075E+01   2.13841E-06 0.0060
    1.0366E+01   2.31125E-07 0.0185
    1.0666E+01   2.01114E-06 0.0064
    1.0975E+01   2.63371E-07 0.0171
    1.1292E+01   1.92452E-06 0.0066
    1.1619E+01   2.75791E-07 0.0163
    1.1955E+01   2.91937E-07 0.0159
    1.2301E+01   1.86084E-06 0.0066
    1.2657E+01   2.87479E-07 0.0151
    1.3023E+01   1.80055E-06 0.0067
    1.3400E+01   2.73825E-07 0.0144
    1.3787E+01   2.89584E-07 0.0140
    1.4186E+01   1.71980E-06 0.0066
    1.4596E+01   2.75991E-07 0.0133
    1.5019E+01   1.68409E-06 0.0065
    1.5453E+01   2.66401E-07 0.0126
    1.5900E+01   2.74499E-07 0.0124
    1.6360E+01   1.61297E-06 0.0064
    1.6834E+01   2.66262E-07 0.0117
    1.7321E+01   1.56545E-06 0.0062
    1.7822E+01   2.56051E-07 0.0111
    1.8337E+01   1.49105E-06 0.0061
    1.8868E+01   2.58825E-07 0.0102
    1.9413E+01   2.46589E-07 0.0105
    1.9975E+01   1.44336E-06 0.0058
    2.0553E+01   2.30827E-07 0.0100
    2.1148E+01   1.35834E-06 0.0056
    2.1759E+01   2.42807E-07 0.0091
    2.2389E+01   2.22488E-07 0.0095
    2.3037E+01   1.31191E-06 0.0054
    2.3703E+01   2.12444E-07 0.0090
    2.4389E+01   1.24054E-06 0.0052
    2.5094E+01   2.24947E-07 0.0081
    2.5820E+01   1.97199E-07 0.0086
    2.6567E+01   1.19959E-06 0.0049
    2.7336E+01   1.89855E-07 0.0081
    2.8127E+01   1.12085E-06 0.0048
    2.8940E+01   2.05082E-07 0.0073
    2.9777E+01   1.74128E-07 0.0079
    3.0639E+01   1.07764E-06 0.0046
    3.1525E+01   1.64820E-07 0.0075
    3.2437E+01   1.00076E-06 0.0044
    3.3376E+01   1.80928E-07 0.0066
    3.4341E+01   1.56384E-07 0.0071
    3.5335E+01   9.50782E-07 0.0042
    3.6357E+01   1.40590E-07 0.0070
    3.7409E+01   8.78328E-07 0.0041
    3.8491E+01   1.55473E-07 0.0061
    3.9604E+01   1.35001E-07 0.0066
    4.0750E+01   8.27589E-07 0.0039
    4.1929E+01   1.19490E-07 0.0065
    4.3142E+01   7.64379E-07 0.0038
    4.4390E+01   1.29783E-07 0.0058
    4.5674E+01   6.79283E-07 0.0037
    4.6996E+01   1.45480E-07 0.0051
    4.8355E+01   9.96010E-08 0.0061
    4.9754E+01   6.52593E-07 0.0036
    5.1193E+01   1.03490E-07 0.0055
    5.2674E+01   5.76971E-07 0.0035
    5.4198E+01   1.19979E-07 0.0048
    5.5766E+01   8.30347E-08 0.0057
    5.7379E+01   5.49907E-07 0.0034
    5.9039E+01   8.22306E-08 0.0053
    6.0747E+01   4.84680E-07 0.0033
    6.2505E+01   9.32453E-08 0.0046
    6.4313E+01   7.15780E-08 0.0053
    6.6174E+01   4.50186E-07 0.0032
    6.8088E+01   6.33916E-08 0.0052
    7.0058E+01   4.02066E-07 0.0031
    7.2084E+01   6.81035E-08 0.0047
    7.4170E+01   3.47691E-07 0.0031
    7.6315E+01   7.56438E-08 0.0041
    7.8523E+01   5.09510E-08 0.0050
    8.0795E+01   3.27750E-07 0.0030
    8.3132E+01   4.92229E-08 0.0047
    8.5537E+01   2.88449E-07 0.0030
    8.8012E+01   5.08788E-08 0.0043
    9.0558E+01   2.49531E-07 0.0030
    9.3178E+01   5.29907E-08 0.0039
    9.5873E+01   3.73750E-08 0.0046
    9.8647E+01   2.30363E-07 0.0029
    1.0150E+02   3.33836E-08 0.0046
    1.0444E+02   2.02153E-07 0.0029
    1.0746E+02   3.39880E-08 0.0042
    1.1057E+02   1.72722E-07 0.0029
    1.1377E+02   3.57055E-08 0.0038
    1.1706E+02   2.54229E-08 0.0045
    1.2044E+02   1.57022E-07 0.0028
    1.2393E+02   2.25670E-08 0.0044
    1.2751E+02   1.36230E-07 0.0028
    1.3120E+02   2.30972E-08 0.0041
    1.3500E+02   1.15087E-07 0.0028
    1.3890E+02   2.41846E-08 0.0037
    1.4292E+02   1.65141E-08 0.0044
    1.4706E+02   1.04241E-07 0.0028
    1.5131E+02   1.54349E-08 0.0043
    1.5569E+02   8.87456E-08 0.0028
    1.6019E+02   1.62794E-08 0.0039
    1.6483E+02   1.32297E-08 0.0043
    1.6959E+02   7.78729E-08 0.0028
    1.7450E+02   1.08105E-08 0.0044
    1.7955E+02   6.73156E-08 0.0027
    1.8474E+02   1.09448E-08 0.0040
    1.9009E+02   5.62985E-08 0.0027
    1.9559E+02   1.15435E-08 0.0037
    2.0124E+02   7.98712E-09 0.0043
    2.0707E+02   5.02317E-08 0.0027
    2.1306E+02   7.52832E-09 0.0042
    2.1922E+02   4.24006E-08 0.0027
    2.2556E+02   7.98599E-09 0.0038
    2.3209E+02   6.35554E-09 0.0042
    2.3880E+02   3.72562E-08 0.0027
    2.4571E+02   5.34675E-09 0.0042
    2.5282E+02   3.22766E-08 0.0027
    2.6013E+02   5.20564E-09 0.0040
    2.6766E+02   2.73596E-08 0.0027
    2.7540E+02   5.31349E-09 0.0037
    2.8337E+02   3.77816E-09 0.0041
    2.9157E+02   3.10669E-09 0.0034
    3.0000E+02   0.00000E+00 0.0000
      total      1.14694E-02 0.0006
 
 cell  403                                                                                                                             
    s(e) (MeV/cm)
    1.0000E+00   0.00000E+00 0.0000
    1.0289E+00   0.00000E+00 0.0000
    1.0587E+00   0.00000E+00 0.0000
    1.0893E+00   0.00000E+00 0.0000
    1.1208E+00   0.00000E+00 0.0000
    1.1533E+00   0.00000E+00 0.0000
    1.1866E+00   0.00000E+00 0.0000
    1.2210E+00   0.00000E+00 0.0000
    1.2563E+00   0.00000E+00 0.0000
    1.2926E+00   0.00000E+00 0.0000
    1.3300E+00   0.00000E+00 0.0000
    1.3685E+00   0.00000E+00 0.0000
    1.4081E+00   0.00000E+00 0.0000
    1.4488E+00   0.00000E+00 0.0000
    1.4907E+00   0.00000E+00 0.0000
    1.5339E+00   0.00000E+00 0.0000
    1.5782E+00   0.00000E+00 0.0000
    1.6239E+00   0.00000E+00 0.0000
    1.6709E+00   0.00000E+00 0.0000
    1.7192E+00   0.00000E+00 0.0000
    1.7689E+00   0.00000E+00 0.0000
    1.8201E+00   0.00000E+00 0.0000
    1.8728E+00   0.00000E+00 0.0000
